,Pós-venda/Cancelado/Devolvido,Nº de Pedido da Plataforma,Custo Médio,SKU,SKU (Armazém)
1593,Ocorreu,582638055616775731,10.0,ME-10-Tubarão-35-40,ME-10-Tubarão-35-40
1594,Ocorreu,582638045792798584,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1595,Ocorreu,582638021205263408,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1596,Ocorreu,582638064147400690,10.0,ME-10-Corrida-35-40,ME-10-Corrida-35-40
1597,Cancelado,582638030631438326,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1598,Ocorreu,582638015814796367,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1599,Ocorreu,582638063285208752,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1600,Ocorreu,582638063285208752,10.0,ME-10-Cachorro-Bulldog-35-40,ME-10-Cachorro-Bulldog-35-40
1601,Ocorreu,582638063285208752,10.0,ME-10-Esquilo-35-40,ME-10-Esquilo-35-40
1602,Ocorreu,582638007364518934,10.0,ME-10-Robô-35-40,ME-10-Robô-35-40
1603,Ocorreu,582638013025584201,10.0,ME-10-Unicornio-35-40,ME-10-Unicornio-35-40
1604,Ocorreu,582637995212899908,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1605,Ocorreu,582638004767589466,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1606,Ocorreu,582638004767589466,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1607,Ocorreu,582637946743522466,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1608,Cancelado,582637957577606619,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1609,Cancelado,582637942998665106,10.0,ME-10-Unicornio-35-40,ME-10-Unicornio-35-40
1610,Ocorreu,582637993384314509,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1611,Ocorreu,582637993384314509,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1612,Ocorreu,582638036805125796,10.0,ME-10-Cachorro- Caramelo-35-40,ME-10-Cachorro- Caramelo-35-40
1613,Ocorreu,582638036805125796,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1614,Ocorreu,582638036805125796,10.0,ME-10-Corrida-35-40,ME-10-Corrida-35-40
1615,Ocorreu,582638036805125796,10.0,ME-10-Robô-35-40,ME-10-Robô-35-40
1616,Ocorreu,582638036805125796,10.0,ME-10-Tubarão-35-40,ME-10-Tubarão-35-40
1617,Ocorreu,582638036805125796,10.0,ME-10-Cachorro-Laço-35-40,ME-10-Cachorro-Laço-35-40
1618,Cancelado,582637977959761616,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1619,Ocorreu,582638001822009165,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1620,Ocorreu,582637956080043197,10.0,ME-10-Cachorro- Caramelo-35-40,ME-10-Cachorro- Caramelo-35-40
1621,Ocorreu,582637956080043197,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1622,Ocorreu,582637956080043197,10.0,ME-10-Unicornio-35-40,ME-10-Unicornio-35-40
1623,Ocorreu,582637956080043197,10.0,ME-10-Corrida-35-40,ME-10-Corrida-35-40
1624,Ocorreu,582637956080043197,10.0,ME-10-Robô-35-40,ME-10-Robô-35-40
1625,Ocorreu,582637956080043197,10.0,ME-10-Tubarão-35-40,ME-10-Tubarão-35-40
1626,Ocorreu,582637933701465867,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1627,Ocorreu,582637999412447088,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1628,Ocorreu,582637974411380438,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1629,Ocorreu,582637949488236008,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1630,Ocorreu,582637949664331540,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1631,Ocorreu,582637949664331540,10.0,ME-10-Robô-35-40,ME-10-Robô-35-40
1632,Ocorreu,582637932389369107,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1633,Ocorreu,582637962171745342,10.0,ME-10-Esquilo-35-40,ME-10-Esquilo-35-40
1634,Cancelado,582637937820534598,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1635,Ocorreu,582637985673675982,10.0,ME-10-Bailarina-35-40,ME-10-Bailarina-35-40
1636,Ocorreu,582637893149754643,10.0,ME-10-Doce-35-40,ME-10-Doce-35-40
1637,Ocorreu,582637881824478652,10.0,ME-10-Robô-35-40,ME-10-Robô-35-40
1638,Ocorreu,582637926669387298,10.0,ME-10-Cachorro- Caramelo-35-40,ME-10-Cachorro- Caramelo-35-40
1639,Ocorreu,582637876736263764,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1640,Ocorreu,582637897356707625,10.0,ME-10-Cachorro- Caramelo-35-40,ME-10-Cachorro- Caramelo-35-40
1641,Ocorreu,582637835629659875,10.0,ME-10-Cachorro- Caramelo-35-40,ME-10-Cachorro- Caramelo-35-40
1642,Ocorreu,582637835629659875,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1643,Ocorreu,582637835629659875,10.0,ME-10-Unicornio-35-40,ME-10-Unicornio-35-40
1644,Ocorreu,582637835629659875,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1645,Ocorreu,582637835629659875,10.0,ME-10-Cachorro-Bulldog-35-40,ME-10-Cachorro-Bulldog-35-40
1646,Cancelado,582637865009645077,10.0,ME-10-Unicornio-35-40,ME-10-Unicornio-35-40
1647,Ocorreu,582637796136355584,10.0,ME-10-Cachorro- Caramelo-35-40,ME-10-Cachorro- Caramelo-35-40
1648,Cancelado,582637845228979752,25.1191,21007-38,21007-38
1649,Ocorreu,582637845622261390,10.0,ME-10-Cachorro-Rosa-35-40,ME-10-Cachorro-Rosa-35-40
1650,Ocorreu,582637911277929732,10.0,ME-10-Unicornio-35-40,ME-10-Unicornio-35-40
1651,Ocorreu,582637886545364401,10.0,ME-10-Cachorro-Bulldog-35-40,ME-10-Cachorro-Bulldog-35-40
1652,Cancelado,582637810743018872,10.0,ME-10-Robô-35-40,ME-10-Robô-35-40
1653,Ocorreu,582637827336210129,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
