,ID do pedido/ajuste,Valor total a ser liquidado,Data do demonstrativo
1761,582226309852267655,-40.8,2026/02/20
1763,582274549545600729,-2.63,2026/02/20
1764,582262743688841196,-40.8,2026/02/20
1765,582261975620420974,-2.45,2026/02/20
1766,582261948295841370,-2.45,2026/02/20
1795,582578604453365416,-9.6,2026/02/19
1796,582578604456510701,-10.8,2026/02/19
1800,582578604286838370,-8.4,2026/02/19
1801,582578328648517021,-13.2,2026/02/19
1802,582577316367336767,-12.0,2026/02/19
1803,582578328639670222,-8.4,2026/02/19
1804,582577316361438767,-7.2,2026/02/19
1805,582578328606049456,-8.4,2026/02/19
1806,582577316335224694,-2.7,2026/02/19
1807,582577316335224694,-8.1,2026/02/19
1808,582577316320609319,-10.8,2026/02/19
1809,582578328570987758,-9.6,2026/02/19
1906,582532726424045228,-1.19,2026/02/19
1984,582484959016093389,-3.48,2026/02/19
2061,582337646166575073,-23.09,2026/02/19
2067,582260840761690090,-32.5,2026/02/19
2068,582260840761690090,-22.79,2026/02/19
2082,582579080099169564,-7.2,2026/02/18
2084,582577316371466194,-8.64,2026/02/18
2088,582562333660710388,-2.37,2026/02/18
2132,582520241460643687,-39.42,2026/02/18
2334,582436336014493063,-9.53,2026/02/17
2369,582507652510484439,-48.6,2026/02/17
2466,582471080412546238,-13.2,2026/02/17
2467,582470235104511334,-12.0,2026/02/17
2584,582401446393251037,-5.14,2026/02/17
2808,582471080409728802,-15.7,2026/02/16
2978,582506827975329153,-1.11,2026/02/15
2986,582487974244419396,-2.28,2026/02/15
3014,582470235107657120,-12.0,2026/02/15
3060,582504172629427614,-0.55,2026/02/14
3061,582498547462800781,-13.08,2026/02/14
3063,582472843811653361,-2.37,2026/02/14
3070,582457406197433627,-2.36,2026/02/14
3079,582440625822992261,-2.62,2026/02/14
3083,582439030667445895,-2.62,2026/02/14
3111,582405174912517658,-7.77,2026/02/14
3128,582387308208293515,-2.62,2026/02/14
3131,582386606525810542,-2.62,2026/02/14
3150,582349411777414670,-2.62,2026/02/14
3152,582323292178449790,-2.57,2026/02/14
3153,582323292178449790,-86.23,2026/02/14
3160,582274895361902205,-2.63,2026/02/14
3163,582261721199052253,-96.15,2026/02/14
3164,582261552929015411,-2.45,2026/02/14
3165,582261468911994608,-45.4,2026/02/14
3269,582337016600102618,-2.63,2026/02/13
3279,582261710626916341,-2.45,2026/02/13
3282,582261220754818798,-39.74,2026/02/13
3284,582261173370980036,-2.45,2026/02/13
3298,582488670131553858,-7.75,2026/02/12
3299,582472486644974948,-2.28,2026/02/12
3301,582423836826240810,-2.62,2026/02/12
3380,582339506602607751,-1.31,2026/02/12
3386,582326171996489515,-1.76,2026/02/12
3387,582324408475617034,-2.63,2026/02/12
3388,582323347572229290,-2.63,2026/02/12
3398,582274399487494134,-34.04,2026/02/12
3406,582261464752751801,-40.8,2026/02/12
3410,582261221471258213,-2.45,2026/02/12
3416,582260971478615662,-40.8,2026/02/12
3417,582260854073689916,-2.45,2026/02/12
3433,582472629081244882,-2.28,2026/02/11
3434,582472297620932266,-2.54,2026/02/11
3435,582472219952973208,-4.78,2026/02/11
3436,582472207554348800,-3.57,2026/02/11
3437,582466266844136551,-2.28,2026/02/11
3438,582456362495542675,-2.36,2026/02/11
3439,582438244483105996,-2.62,2026/02/11
3486,582287716614374502,-19.09,2026/02/11
3488,582278546360403043,-36.44,2026/02/11
3496,582273198953039450,-2.45,2026/02/11
3502,582261798003180679,-2.45,2026/02/11
3522,582260800965543312,-2.45,2026/02/11
3524,582260705505282044,-2.49,2026/02/11
3525,582260705505282044,-2.48,2026/02/11
3540,582482316512822903,-2.28,2026/02/10
3541,582466973231711490,-2.28,2026/02/10
3560,582339263460115686,-6.23,2026/02/10
3573,582308702961435732,-2.63,2026/02/10
3584,582277072952067313,-2.45,2026/02/10
3585,582277044208698411,-2.45,2026/02/10
3660,582260678458640003,-2.45,2026/02/10
3664,582014343726532270,-34.2,2026/02/10
3668,582466403110586246,-2.28,2026/02/09
3669,582401475376940473,-2.62,2026/02/09
3741,582260998987154728,-2.45,2026/02/09
3773,582423156324271173,-2.62,2026/02/08
3774,582422726669534731,-2.62,2026/02/08
3775,582381791551260616,-2.62,2026/02/08
3776,582373633386775879,-2.62,2026/02/08
3795,582421838136641429,-2.62,2026/02/07
