,Order ID,Package ID,Quantity,SKU Subtotal After Discount,SKU Unit Original Price,SKU Subtotal Before Discount,Sku Quantity of return,Seller SKU
1886,582633251724297271,1186268497630102583,1,19.69,35.0,35.0,0,ME-10-Coelho-35-40
1887,582633192867268316,1186268268818237148,1,17.94,35.0,35.0,0,ME-10-Cachorro- Caramelo-35-40
1888,582633192867268316,1186268268818237148,1,17.94,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
1889,582633192867268316,1186268268818237148,1,17.33,35.0,35.0,0,ME-10-Coelho-35-40
1890,582633090379777541,1186268233857664517,1,39.6,110.0,110.0,0,21007-41
1891,582632662981576042,1186266316191335786,1,38.41,110.0,110.0,0,21011-42
1892,582632598550382430,1186266193780442974,1,17.8,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
1893,582632559262729271,1186265719608804407,1,17.72,35.0,35.0,0,ME-10-Coelho-35-40
1894,582631799869703472,1186261959781352752,1,18.9,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
1895,582631494132467616,1186260615624689568,1,9.18,17.0,17.0,0,PEBCN-BBML 12-24-12-24
1896,582631001703220676,Cancelado,1,10.2,17.0,17.0,1,PEBCN-BBML 12-24-12-24
1897,582630987496457629,1186257831768065437,1,39.6,110.0,110.0,0,21009-40
1898,582630328540103862,1186254792383628470,1,18.35,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
1899,582630335095866601,1186254245806638313,1,11.34,21.0,21.0,1,SQ-EMCA-Preta-Branca-Chumbo-40-46
1900,582629135099004711,1186246053466310439,1,17.94,35.0,35.0,0,ME-10-Cachorro- Caramelo-35-40
1901,582629135099004711,1186246053466310439,1,17.95,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
1902,582629135099004711,1186246053466310439,1,17.94,35.0,35.0,0,ME-10-Unicornio-35-40
1903,582629010216748934,1186245180959459206,1,18.35,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
1904,582628875926144921,Cancelado,1,18.9,35.0,35.0,1,ME-10-Bailarina-35-40
1905,582626607146305370,1186225865246541658,1,39.6,110.0,110.0,0,21011-44
1906,582625050361890196,1186213008829089172,1,39.6,110.0,110.0,0,21011-44
1907,582624838328353993,1186211779707897033,1,9.18,17.0,17.0,0,PEBCN-BBML 12-24-12-24
1908,582624576885982599,1186208440500454791,1,17.72,35.0,35.0,0,ME-10-Coelho-35-40
1909,582624205916767950,1186205486109198030,1,39.6,110.0,110.0,0,21011-42
1910,582624086680307456,1186204845860292352,1,10.25,20.0,20.0,0,AS-F-Rosa-Morango -35-40
1911,582623713588839520,1186200131116696672,1,9.18,17.0,17.0,0,PEBCN-BBML 12-24-12-24
1912,582623658271934363,1186200918887663515,2,36.96,35.0,70.0,0,ME-10-Coelho-35-40
1913,582623672889934947,1186200344061248611,1,39.6,110.0,110.0,0,21006-37
1914,582623676916729725,Cancelado,4,35.5,17.0,68.0,4,PEBCN-BBML 12-24-12-24
1915,582623301257823381,1186195214378108053,1,18.9,35.0,35.0,0,ME-10-Cachorro-Rosa-35-40
1916,582623189210006994,1186194853770659282,1,38.72,110.0,110.0,0,21006-39
1917,582623189210006994,1186194853770659282,1,38.72,110.0,110.0,0,21007-39
1918,582623189931755167,1186194086915049119,1,29.7,110.0,110.0,0,210007-40
1919,582623170712470656,1186194590387111040,1,18.48,35.0,35.0,0,ME-10-Coelho-35-40
1920,582623170712470656,1186194590387111040,1,18.48,35.0,35.0,0,ME-10-Cachorro- Caramelo-35-40
1921,582623061429094331,1186192581020190651,1,18.9,35.0,35.0,0,ME-10-Coelho-35-40
1922,582623016300414209,1186193038003700993,1,29.7,110.0,110.0,0,21006-39
1923,582622885571037125,1186190618850199493,1,39.6,110.0,110.0,0,21009-43
1924,582622861858998214,1186189608094894022,1,18.48,35.0,35.0,0,ME-10-Cachorro- Caramelo-35-40
1925,582622861858998214,1186189608094894022,1,18.48,35.0,35.0,0,ME-10-Coelho-35-40
1926,582622809380324738,1186189333398652290,1,39.6,110.0,110.0,0,21007-41
1927,582622785826620743,1186189088010437959,1,39.6,110.0,110.0,1,21011-44
1928,582622771043075179,1186189174644245611,1,29.7,110.0,110.0,0,21011-44
1929,582622761993602506,Cancelado,1,18.9,35.0,35.0,1,ME-10-Cachorro-Rosa-35-40
1930,582622724730160728,1186188970671834712,1,29.7,110.0,110.0,0,21011-43
