,SKU,SKU Seller,Custo Médio
78,SQ-EFCA-ALEATORIO-6PARES,SQ-EFCA-ALEATÓRIO-6PARES,10.0
79,SQ-EFCA-ALEATORIO-6PARES,SQ-EFCA-ALEATORIO-6PARES,10.0
80,MALG-MC-PRETO-2PARES,MALG-MC-PRETO-2PARES,9.1366
81,MALG-M01-PRETO+VERDE-2PAR,MALG-M01-Preto+Verde-38-46-2 Pares,8.3357
82,MALG-M01-VERDE+AZUL-2PAR,MALG-M01-Verde+Azul-38-46-2 Pares,8.3356
83,MALG-MC-BRANCO-2PARES,MALG-MC-BRANCO-2PARES,8.3358
84,SQ-EMCA-Chumbo-Cinza-Preta-12PARES,SQ-EMCA-Chumbo-Cinza-Preta-38-46-12 Pares,20.0
85,ME-10-COELHO-COELHO ROSA-2PAR,ME-10-COELHO-COELHO-ROSA-2PAR,20.0
86,HM-BAF-PRETO-3PARES,HM-BAF-Preto-35-41*3,16.2498
87,HM-BAF-PRETO-3PARES,HM-BAF-Preto-3 Pares,16.2498
88,HM-BAF-SORTIDA-6PARES,HM-BAF-Cores Sortidas-6 Pares,32.4966
89,PC-SQ-EMCA,PC-SQ-EMCA,20.0
90,QS-LM-M02-CHUMBO-CHUMBO,QS-LM-M02-Chumbo+Chumbo,12.0
91,MALG-MC-PRETO-3-PARES,MALG-MC-Preto-40-46-Kit 3 Pares,13.704899999999999
92,MALG-MC-PRETO-3-PARES,MALG-MC -Preto-40-46*3,13.704899999999999
93,MALG-MC-BRANCO-6-PARES,MALG-MC-Branco-40-46-Kit 6 Pares,25.007400000000004
94,MA-M-BRANCO-6-PARES,MA-M-Branco-6 Pares-40-46,17.499000000000002
95,QS-LM-M02-BRANCA-CINZA,QS-LM-M02-Branca+Cinza-37-42,12.0
96,ME-10-SEREIA-UNICORNIO,ME-10-SEREIA+UNICORNIO-1PAR,20.0
97,ME-10-CORRIDA-ROBO-2-PARES,ME-10-CORRIDA+ROBO-2PAR,20.0
98,MALG-MC-PRETO-6-PARES,MALG-MC-Preto-40-46-Kit 6 Pares,27.409799999999997
99,MALG-MC-PRETO-6-PARES,MALG-MC-Preto-40-46-Kit 6 Pares,27.409799999999997
100,MALG-MC-VERMELHO-PRETO,MALG-MC-PRETO+VERMELHO-2PARES,8.7441
101,MALG-MC-PRETO-BRANCO,MALG-MC-PRETO+BRANCO-2PARES,8.7362
102,MALG-MC-AZUL-6-PARES,MALG-MC-Azul-40-46-Kit 6 Pares,25.0458
103,MALG-MC-3-CORES-ALEATORIAS,MALG-MC-ALEATÓRIO-3PARES,12.5143
104,MALG-MC -Vermelho-40-46-6pc,MALG-MC-Vermelho-40-46-Kit 6 Pares,25.0548
105,21082-37-38,21082-37,25.007400000000004
106,ME-10-CORRIDA-SHARK-ROBO-3PARES,ME-10-CORRIDA-SHARK-ROBO-3PAR,30.0
107,21079-35-36,21079-35,16.6716
108,21079-35-36,21079-36,16.6716
109,21079-35-36,21079-37,16.6716
110,ME-10-2-PARES-MASCULINO-SORTIDO,ME-10-2PARES-SORTIDA-MASCU,20.0
111,ME-10-ESQUILO*2,1733691090775409931,20.0
112,ME-10-ESQUILO*2,ME-10-Esquilo-32-40-2 Pares,20.0
113,QS-LM-M02-Chumbo+Cinza,QS-LM-M02-Cinza+Chumbo-37-42,12.0
114,ME-10-DOCE*2,1733691090775409931,20.0
115,ME-10-DOCE*2,ME-10-Doce-33-40-2 par,20.0
116,ME-10-DOCE*2,ME-10-Doce-32-40-2 Pares,20.0
117,MASG-MC-Vermelho-38-46-Kit-3-Pares,MASG-MC-Vermelho-38-46-Kit 3 Pares,18.6621
118,MASG-MC-Vermelho-38-46-Kit-3-Pares,MASG-MC-Vermelho-38-46-Kit 3 Pares,18.6621
119,QS-LM-M02-Preto+Preto-37-42,QS-LM-M02-Preto+Preto,12.0
120,QS-LM-M02-Preto+Preto-37-42,QS-LM-M02-Preto+Preto-37-42,12.0
121,MA-M-Preto-4 Pares-40-46,MA-M-Preto-4 Pares-40-46,11.6668
122,MA-M-Preto-4 Pares-40-46,MA-M-Preto-40-46-4 Pares,11.6668
123,MA-M-Preto-4 Pares-40-46,MA-M-Preto-4 Pares-40-46,11.6668
124,ME-10-CACHORRO-CARAMELO-KIT-2-PARES,1733691090775409931,20.0
125,ME-10-CACHORRO-CARAMELO-KIT-2-PARES,ME-10-Cachorro- Caramelo-35-40-30-38-2 Pares,20.0
126,MASG-MC-Azul Escuro-38-46-Kit 12 Pares,MASG-MC-Azul Escuro-38-46-Kit 12 Pares,74.6016
127,21077-39-40,21077-39-40,74.9772
128,21077-39-40,21077-39-40,74.9772
129,21077-39-40,21077-39-40,74.9772
130,21077-39-40,21077-39-40,74.9772
131,21077-39-40,1734161991943423243,74.9772
132,21077-39-40,1734161991943423243,74.9772
133,MASG-MC-Branco-38-46-Kit 3 Pares,MASG-MC-Branco-38-46-Kit 3 Pares,18.5961
